device_count,rate,IP_old_avg,IP_new_avg,UDP_old_avg,UDP_new_avg
2,6,5.0892,5.3772,5.0964,5.2768256000000004
2,9,7.449599999999999,7.789199999999999,7.4483999999999995,7.643801600000001
2,12,9.642,10.041599999999999,9.6336,9.8541568
2,18,13.732800000000001,14.1648,13.738800000000001,13.900390400000001
2,24,17.2752,17.6796,17.2752,17.349580800000002
2,36,23.5596,23.8368,23.5584,23.3918464
2,48,28.6548,28.6572,28.6548,28.122265600000002
2,54,31.068,31.0296,31.0704,30.450380799999998
5,6,4.7076,4.6164000000000005,4.6704,4.530227200000001
5,9,6.8568,6.8172,6.7632,6.6899456
5,12,8.8128,8.8248,8.8452,8.660070399999999
5,18,12.6708,12.66,12.6204,12.423680000000001
5,24,15.9864,16.0728,15.9984,15.7727744
5,36,22.0716,22.412399999999998,22.0776,21.9940352
5,48,26.943599999999996,27.536399999999997,26.931599999999996,27.022387200000004
5,54,29.446800000000003,30.15,29.5608,29.587200000000003
10,6,4.3427999999999995,3.8375999999999997,4.2924,3.7659648
10,9,6.3144,5.676,6.2916,5.570048
10,12,8.2092,7.3476,8.136,7.2104448
10,18,11.7456,10.6848,11.8368,10.4853504
10,24,14.940000000000001,13.5528,14.9796,13.299814399999999
10,36,20.732400000000002,19.1556,20.5668,18.7980288
10,48,25.284,23.613599999999998,25.113599999999998,23.1728128
10,54,27.566399999999998,26.013600000000004,27.5388,25.5280128
20,6,3.9408000000000003,2.8908,3.9671999999999996,2.8368384
20,9,5.7732,4.3224,5.796,4.2417152
20,12,7.5852,5.5968,7.489199999999999,5.4923264000000005
20,18,10.866,8.129999999999999,10.9344,7.9782399999999996
20,24,13.752,10.47,13.776,10.27456
20,36,19.104000000000003,14.740799999999998,19.1604,14.4656384
20,48,23.3964,18.4212,23.3616,18.0773376
20,54,25.6368,20.439600000000002,25.5864,20.0580608
30,6,3.75,2.2920000000000003,3.7632,2.2492159999999997
30,9,5.526000000000001,3.3299999999999996,5.5451999999999995,3.2678399999999996
30,12,7.2132000000000005,4.3308,7.210800000000001,4.2499584
30,18,10.2924,6.3756,10.3188,6.2565888
30,24,13.076400000000001,8.2152,13.1124,8.061849599999999
30,36,18.1104,11.4744,18.1644,11.2602112
30,48,22.159200000000002,14.4468,22.2732,14.1771264
30,54,24.4668,15.9072,24.3792,15.6102656
40,6,3.564,1.6896,3.6336,1.6580608
40,9,5.3027999999999995,2.5848,5.299200000000001,2.5365504000000003
40,12,6.951600000000001,3.3804000000000003,6.8352,3.3172992
40,18,9.874799999999999,4.926,9.852,4.834048
40,24,12.6036,6.3336,12.604800000000001,6.2153728
40,36,17.334,9.097199999999999,17.436,8.9273856
40,48,21.4356,11.322,21.397199999999998,11.110656
40,54,23.4012,12.604800000000001,23.498399999999997,12.3695104
50,6,3.4200000000000004,1.284,3.4872,1.260032
50,9,5.154,1.9884,5.1216,1.9512832
50,12,6.6732,2.5932000000000004,6.5652,2.5447935999999998
50,18,9.584399999999999,3.768,9.5748,3.6976640000000005
50,24,12.1812,4.9296,12.1188,4.8375808
50,36,16.866,6.9468000000000005,16.7916,6.817126399999999
50,48,20.8248,8.7912,20.581200000000003,8.6270976
50,54,22.7484,9.6528,22.690800000000003,9.472614400000001
60,6,3.3528,0.9852000000000001,3.4176,0.9668096
60,9,5.0064,1.4784,5.0123999999999995,1.4508032
60,12,6.4248,1.8983999999999999,6.426,1.8629632
60,18,9.3168,2.8296,9.2784,2.7767808
60,24,11.9484,3.6864,11.821200000000001,3.6175872
60,36,16.3632,5.2968,16.3308,5.1979264
60,48,20.128800000000002,6.5364,20.0988,6.4143872
60,54,21.9948,7.3392,22.008000000000003,7.2022015999999995
70,6,3.2328,0.7788,3.312,0.7642624
70,9,4.8492,1.092,4.881600000000001,1.0716160000000001
70,12,6.3372,1.4676,6.3576,1.4402048
70,18,9.086400000000001,2.1048,9.059999999999999,2.0655104
70,24,11.389199999999999,2.7264,11.482800000000001,2.6755071999999998
70,36,16.0332,3.906,16.02,3.833088
70,48,19.666800000000002,4.9056,19.564799999999998,4.8140288
70,54,21.4704,5.4516,21.5916,5.3498368
80,6,3.1176000000000004,0.528,3.186,0.518144
80,9,4.686,0.7752,4.755599999999999,0.7607296
80,12,6.1608,1.1196,6.1128,1.0987008
80,18,8.85,1.554,8.91,1.524992
80,24,11.208,2.0100000000000002,11.124,1.9724800000000002
80,36,15.508799999999999,2.9028,15.628800000000002,2.8486143999999998
80,48,19.1124,3.7356000000000003,19.1436,3.6658687999999997
80,54,20.9784,3.9792,20.8044,3.9049216
90,6,3.1188,0.4236,3.1776,0.4156928
90,9,4.6368,0.558,4.6872,0.547584
90,12,6.0312,0.7847999999999999,6.036,0.7701504
90,18,8.6328,1.0884,8.600399999999999,1.0680831999999998
90,24,10.9968,1.4676,10.9872,1.4402048
90,36,15.259199999999998,2.1024000000000003,15.2868,2.0631551999999997
90,48,18.7908,2.6424,18.7428,2.5930752
90,54,20.510399999999997,2.8332,20.6568,2.7803136
100,6,3.0096,0.2904,3.0588,0.2849792
100,9,4.5192,0.4152,4.4364,0.40744959999999997
100,12,5.9124,0.5808,5.8536,0.5699584
100,18,8.5344,0.7764,8.420399999999999,0.7619072
100,24,10.7616,1.0032,10.7304,0.9844736
100,36,14.972399999999999,1.5336,14.9292,1.5049728
100,48,18.3684,1.8719999999999999,18.3708,1.837056
100,54,20.134800000000002,2.0256,20.1672,1.9877888000000001
